"Items","件商品"
"added to","已添加到"
"your shopping cart.","您的购物车"
"View cart & checkout","查看购物车和结账"
"Total","总金额"
"Go to cart","购物车"
"Are you sure you would like to remove this item from the shopping cart?","您确认要从购物车中删除该商品吗？"
"Has no item to show","无商品可显示"
"s","秒"
"Best Sellers","按销量"
"Price Low To High","按价格（从低到高）"
"Price High To Low","按价格（从高到低）"
"By Popularity","按人气"
"Shop by","分类"
"Sign in Or Register","登录或注册"
"user name","用户名"
"LOGIN","登录 "
"Login with your social account","用社交账户登录"
"NEW HERE?","新用户？"
"Create an account","申请一个新账户"
" Required Fields"," 必选项"
"Logout","退出"
"My Social Accounts","我的社交账户"
"If you have multiple social networks accounts (like Facebook, Twitter, Google) - you can link your social accounts with your account at our store. This will allow you to access the website more conveniently!","
如果您有多个社交网络帐户（如Facebook，Twitter，Google） - 您可以将您的社交帐户与此帐户关联起来。这将更方便您访问网站！"
"Connect new account","关联新账户"
"your wishlist", "您的收藏"
"View Wishlist","查看收藏"
"Are you sure you would like to remove this item from the your wishlist?","您确定要在收藏中移除该商品？"
"Already have an account?","已经有账户？"
"Click here to login","点击此处登录"
"Enter your coupon code:","输入优惠码："
"Please selet city","请选择城市"
"Please select district","请选择区"
"Please specify shipping method","请选择运输方式"
"All Categories","所有类目"
"Enter your keyword...","输入关键字..."
"Enter your email address","输入您的邮箱地址"
"Idcard","身份证号"
"Please select qty","请先选择数量"
"My Order","我的订单"
"Available Inventory is %s","可用库存只有 %s"
"Available Inventory is %s and you have added %s in shopping cart","可用库存只有 %s 个, 您已添加 %s 个在购物车中"